KLHL21,LZIC,NLRP6,MIR4537,HBA1,NFIX,JUND,MIR663AHG,PXK,Results
408.3789487,119.0824941,162.8133535,12.7828666,422.5073802,173.5778728,294.6787142,956.0238652,297.3698441,1
253.3197731,118.4352186,81.15005718,16.44933592,87.72979155,100.8892603,276.3488434,652.4903246,233.58057,1
532.4446403,122.6867921,180.4217531,4.81124675,258.2035756,139.5261557,255.7979522,230.1379695,304.7122942,1
391.0745683,132.3637,409.1241638,2.406612728,93.85789639,57.75870547,175.6827291,454.8498056,204.5620819,1
399.819591,139.6018125,136.251369,13.401774,751.6161585,211.0779405,243.465561,64.775241,385.3010025,1
431.6825641,135.1808722,197.1698909,26.8868033,842.4531701,203.1447361,289.0331355,424.9608633,297.2485476,1
338.6340708,110.0722601,122.3744539,19.42451649,325.0369093,71.22322713,171.583229,380.0730393,288.1303279,1
369.0346746,80.72633507,196.0496709,11.53233358,98751.37245,749.6016828,380.5670082,2387.193051,322.9053403,1
256.4293024,158.3172215,145.4957563,12.82146512,127.6571962,52.95822549,173.3685066,342.8348282,307.1577078,1
566.3539998,116.8666984,171.9288928,13.48461904,402.2911348,187.6609484,311.2699563,1415.885,206.7641587,1
333.7185059,109.7758243,84.30783308,13.17309892,432.0776445,121.1925101,275.7568707,971.2964936,249.4106729,1
306.4786083,137.2768766,257.5271639,3.192485503,55.33641539,62.78554824,218.1531761,226.6664707,274.5537533,1
339.8626437,155.7703784,169.9313219,28.32188698,165229.8886,481.4720786,892.1394398,2209.107184,368.1845307,1
321.6298536,118.6762561,139.315605,6.019810093,623.4803311,100.6168258,197.7937602,600.2610636,276.9112643,1
215.0465588,119.4703105,82.30176944,5.309791576,56.63777682,25.66399262,153.9839557,467.2616587,187.6126357,1
487.4461209,116.3919822,222.2824322,8.313713014,228.8458898,165.3991326,328.610446,508.0116215,226.6580706,1
309.1477909,157.3843299,230.4556259,22.4834757,33860.11441,50.58782033,275.4225774,1382.733756,224.834757,1
254.3137316,138.8805485,122.6477571,3.607286973,55.91294809,97.39674828,120.8441136,23.44736533,259.7246621,1
393.7534201,88.24229188,120.1281621,13.34757356,458.2666923,72.67012273,254.3454295,1357.003312,267.6930031,1
394.3591134,117.3561973,282.2892313,1.057263039,901.845372,51.8058889,182.9065057,463.081211,227.3115533,1
235.2632116,112.1505632,67.45898541,3.37294927,29.51330612,64.92927345,94.44257957,86.01020639,193.1013457,1
474.0517692,138.0380631,139.2489233,6.054301011,606.6409613,97.47424628,278.4978465,309.9802118,347.516878,1
330.3584143,117.0775699,232.3399837,3.630312245,1132.65742,311.299275,408.4101276,1056.420863,190.5913929,1
407.3633492,118.4761932,180.1487321,8.926288528,624.8401969,135.5172895,278.3379059,835.0137177,294.5675214,1
308.9096224,118.4858826,242.61395,15.51600843,7327.787619,167.8550003,348.4049166,1056.49912,289.1619753,1
1136.36105,126.8752628,665.6354369,8.274473663,467.048069,182.0384206,422.9175428,412.8042972,707.9271911,1
222.8792296,129.0353434,41.05670019,5.865242884,1274.712787,82.11340037,211.1487438,737.0655224,224.8343105,1
544.313046,98.0505487,169.0709461,4.240023728,240.0913436,95.40053387,200.8711241,524.7029363,307.4017203,1
245.6873439,121.4787423,117.3839532,2.729859376,51.86732815,76.43606254,221.1186095,637.4221644,267.5262189,1
308.1825037,128.4093765,101.1710239,21.01244343,842.8324532,203.1202865,317.5213674,388.3410842,277.0529578,1
397.4776156,110.0707243,169.6923667,19.10950075,412.7652162,142.1746856,221.6702087,430.3459569,259.8892102,1
589.7392303,109.2544789,371.2302725,9.398234746,491.0577655,148.0221973,231.4315306,240.8297654,619.1087139,1
231.2666475,96.36110311,211.9944268,9.636110311,119613.0373,587.802729,337.2638609,1985.038724,279.447199,1
336.5127303,142.9743206,115.0768922,26.15383914,169.1281598,85.43587453,129.0256064,183.076874,357.4358016,1
420.2725143,129.0724576,135.368675,7.870271803,319.5330352,161.340572,189.6735504,290.4130295,236.8951813,1
218.0172012,140.5291598,47.28083882,9.193496437,550.2964296,63.04111843,197.0034951,717.0927221,333.592585,1
310.6655257,113.1946197,202.4283346,3.304952401,530.4448604,93.36490533,171.0312868,78.49261953,257.7862873,1
522.8323972,157.1519344,181.3291551,6.04430517,586.2976015,256.8829697,761.5824515,803.8925877,265.9494275,1
245.4065565,104.0133749,86.13607611,4.875626949,2574.331029,118.6402558,186.8990331,469.6853961,286.036781,1
250.3288121,115.4366025,115.4366025,5.188161908,230.8732049,77.82242862,190.6649501,543.4599599,175.1004644,1
164.4927144,157.9503905,114.9579765,6.542323868,120.5656827,117.7618296,351.4162535,1038.36026,284.1237794,1
389.1091962,106.6912312,182.0026886,21.96584172,7389.936751,84.7253895,241.6242589,668.3891838,197.6925755,1
307.8441086,127.2350431,286.8179786,8.086973079,55.53054848,69.54796848,236.6787455,222.1221939,267.4092432,1
215.9605658,166.6247469,114.4963345,21.40988368,774.4792706,430.0594027,506.3902923,2729.294737,277.3976234,1
385.8834067,118.4626872,290.8786774,8.210285249,6337.167314,96.1776272,315.5095331,1243.271766,222.8505996,1
218.8757784,160.1530086,113.4417144,2.66921681,28.69408071,68.73233286,80.74380851,121.4493649,208.1989112,1
395.5771264,116.0525955,124.787737,2.495754741,5580.507601,141.0101429,254.5669836,457.970995,260.8063704,1
434.4496898,162.0643787,228.4521964,1.952582876,4231.247091,213.8078249,290.9348485,1430.266956,219.6655735,1
390.4524853,126.4936977,198.1304347,4.517632061,212.3287069,92.93414525,238.7891232,373.672709,296.227588,1
293.7169567,153.4342311,226.0110579,14.12569112,559.1825311,129.0795912,246.4689553,314.1748541,271.7977808,1
271.041918,152.0992511,96.8382775,14.73625962,381.5638651,91.04903264,145.7837112,167.8881007,253.6741834,0
298.4043093,213.1459352,147.5625705,3.279168234,28335.29271,144.2834023,216.4251034,780.4420397,200.0292623,0
343.6369211,112.5707155,101.3794748,6.583082779,48.05650429,39.49849667,122.4453397,72.41391057,246.8656042,0
271.0089456,129.612974,42.22240819,6.873415288,51.05965642,108.0108117,119.7938093,91.31823168,229.7684539,0
379.5967467,109.0795249,125.4414536,1.090795249,47.99499096,38.17783371,97.08077716,70.90169118,245.428931,0
205.7270191,149.0039315,71.96212602,6.772905978,31.32469015,76.19519225,111.7529486,75.34857901,180.3286217,0
485.1479808,116.894987,197.3025214,5.405548533,207.4379249,95.27279289,170.9504724,185.1400372,322.3058313,0
296.9448023,145.0195546,149.62335,5.754744231,47.18890269,72.50977731,118.5477312,47.18890269,252.0577973,0
198.4123391,135.2811403,94.69679821,11.27342836,38.32965642,45.65738485,100.8971838,197.8486677,190.5209393,0
229.3004877,118.1244936,70.87469619,2.77939985,30.57339835,79.21289574,59.75709678,23.62489873,230.6901876,0
294.0515912,148.7555108,166.9175209,5.189145727,51.02659965,112.4314908,141.8366499,53.62117251,253.403283,0
364.68398,118.7622172,251.9198546,10.7965652,1233.207669,286.7087869,334.6935211,530.231313,283.1099318,0
500.095314,124.3391416,187.8780862,2.738747612,1417.575764,160.4906101,311.6694783,203.2150728,329.197463,0
399.5032196,106.7902837,163.6426649,15.36550845,292.7129359,96.80270321,208.9709149,766.7388714,255.8357156,0
263.1726205,134.9603182,93.12261957,5.398412729,53.98412729,157.9035723,167.3507946,85.02500048,201.0908741,0
513.7115232,108.3534663,295.0697073,35.79534154,511.7766398,296.0371489,562.0836063,2354.753008,240.8929741,0
521.7995636,98.15316826,370.2395244,7.217144725,43.30286835,115.4743156,230.2269167,163.8291853,272.8080706,0
329.373008,143.927701,73.34777068,4.151760604,55.35680806,154.9990626,102.4100949,26.29448383,318.3016463,0
320.9684808,132.9351746,164.4198212,4.372867586,37.60666124,37.60666124,152.175792,72.58960192,244.0060113,0
414.8111878,95.55065752,189.5846379,5.308369862,21.23347945,70.52548531,153.1843875,152.4260489,272.2435401,0
292.6605965,160.4548444,162.7147718,4.519854772,27.11912863,53.67327542,134.4656795,192.0938278,227.1227023,0
154.2903961,133.1547254,20.07888717,3.698742373,31.70350605,32.76028959,110.9622712,155.8755714,150.5916538,0
294.7984292,151.4653998,127.0682884,5.082731538,102.6711771,40.6618523,153.4984924,312.0797164,351.7250224,0
271.4700958,129.8969813,89.51702084,1,42.81248823,86.111482,114.3288038,65.67824899,243.7392796,0
390.9959465,129.9553001,117.5247932,1,32.77133656,48.59198179,87.01354879,28.2511522,245.2200011,0
256.4876732,144.7770141,134.0527909,7.149482179,49.15268998,87.58115669,142.0959583,84.90010087,252.0192468,0
283.3986089,124.3483692,166.7617664,4.819704232,36.62975217,91.57438042,134.9517185,81.93497195,274.7231412,0
485.1834573,118.8489737,152.406331,15.38045542,583.0590827,152.406331,336.971796,542.5106093,233.5032777,0
389.3816167,134.896334,123.415795,3.826846355,47.83557944,69.83994598,118.632237,72.71008075,329.1087866,0
302.6081069,112.8025756,103.3460722,2.701858098,27.01858098,77.00295578,88.4858527,29.04497455,208.718538,0
594.9358343,143.325451,302.8764247,12.16914206,1083.053644,246.0870951,617.9219915,1135.786593,274.4817599,0
355.3619255,118.4539752,129.3366725,10.0455668,601.0597468,246.5349519,336.5264878,744.2090737,211.3754681,0
263.006635,203.61804,186.64987,8.484084999,29880.94736,175.3377566,339.3633999,3003.366089,254.52255,0
214.9120171,143.8523986,108.3225893,11.26554929,704.5301207,144.7189793,158.5842707,220.9780821,207.1127907,0
388.4275862,81.44449389,125.2992214,12.52992214,79214.16775,294.4531702,338.3078977,1547.445384,325.7779756,0
95.68287945,278.1479054,5.006662297,2.781479054,8.344437161,10.01332459,110.1465705,38.38441094,134.6235862,0
244.442212,130.8176975,27.65859891,2.242589101,46.34684141,82.97579673,138.2929945,101.6640392,190.6200736,0
296.915885,156.0879395,85.01996706,3.487998649,34.44398665,36.18798598,70.1959728,17.00399341,224.1039132,0
261.9596565,122.0649708,115.2073882,2.743033052,30.63053575,39.31680708,91.89160724,47.54590623,203.441618,0
392.8524391,112.0301632,103.0677502,7.468677549,222.5665909,92.6116016,110.5364277,25.39350367,318.1656636,0
301.6493863,121.3338314,112.9078709,2.106490128,46.34278282,76.25494263,107.8522946,65.30119397,234.2417022,0
113.8434263,337.6711797,6.753423593,1,5.788648794,6.753423593,124.4559491,148.5753191,92.61838071,0
247.5193664,126.1095506,53.26366112,3.916445671,29.7649871,38.38116757,86.94509389,32.1148545,177.8066334,0
300.2199503,153.691775,126.9910853,5.209890678,51.44767045,76.8458875,110.0589406,64.47239714,184.9511191,0
277.5779403,99.67571491,478.191088,39.11325522,2740.451301,934.9329715,963.9524835,4215.399538,248.5584283,0
326.4870271,113.6086615,123.5356319,2.205993426,909.9722883,88.23973705,221.7023393,525.0264354,322.0750402,0
293.6742813,467.9841772,532.4030518,34.10411008,2561.597602,3351.676152,2298.238085,4194.80554,217.88737,0
260.4425173,144.0997148,128.1542546,5.905726017,37.20607391,51.37981635,96.85390667,98.03505188,215.5589996,0
378.9389161,108.4201106,185.4834246,22.85325861,247.6655468,147.2175032,375.7500893,1348.342258,223.2178748,0
66.37088021,230.5514786,17.96505028,1.996116698,12.97475854,11.97670019,136.7339938,8.483495967,136.7339938,0
300.7058349,135.2868787,69.48826042,6.149403577,34.43666003,110.6892644,155.5799105,92.85599401,242.2865009,0
329.0416558,100.3640572,199.4576832,5.081724414,47.64116638,69.87371069,204.5394076,151.8165169,219.7845809,0
376.7395206,131.5598326,160.7953509,3.986661594,35.21551074,120.928735,269.0996576,197.3397489,337.5373483,0
296.3798077,136.2115052,152.6390234,4.106879553,43.1222353,70.50143232,156.061423,169.7510215,239.5679739,0
174.2429958,106.9719658,13.23364525,4.411215084,23.71028108,33.08411313,76.0934602,83.81308659,186.9252392,0
353.8350409,222.4711335,845.3903073,31.7815905,2637.872011,2760.760828,1027.604759,7208.064725,222.4711335,0
268.7634906,134.3817453,56.54677402,5.32204932,23.28396577,55.88151786,87.81381378,25.94499043,205.564155,0
293.7160371,113.0077661,73.9497824,1.562319346,46.86958039,42.70339547,86.96911029,51.55653843,198.414557,0
394.8370289,111.985941,185.8735721,5.772471183,47.3342637,51.95224065,132.7668372,53.10673489,279.3876053,0
282.2085909,124.9406455,124.0669347,3.494843231,34.0747215,78.63397269,115.3298266,143.2885725,180.8581372,0
473.9666121,101.0907809,140.8642029,32.31590537,364.5897016,143.3500418,358.7894109,1080.511298,223.7254987,0
322.6732685,110.4407476,119.0897218,1,35.92650825,41.24895391,96.4693277,71.85301649,277.4324804,0
254.279318,135.2059213,94.49050184,11.52323193,42.25185042,87.57656268,150.5702306,76.05333075,185.1399264,0
791.9376109,282.834861,848.5045831,36.89150361,3010.346695,2319.245861,1797.845943,4114.63237,282.834861,0
379.7136999,121.3747604,162.5753671,14.47588885,4447.438467,143.6453586,301.7666061,3204.739086,247.2036404,0
351.9983789,111.1573828,206.4351395,5.293208706,22607.29438,285.8332701,381.1110268,1196.265167,201.1419308,0
